(i) The rates of duty set forth in heading 9903.74.08 apply to parts of medium- and heavy-duty vehicles classifiable in the
provisions of the HTSUS enumerated in this subdivision:
4009.42.0020 4009.32.0020 4009.22.0020 4009.12.0020
4011.20.1035 4011.20.1025 4011.20.1015 4011.10.50
4013.10.00 4012.20.60 4012.19.80 4012.19.40
7009.10.00 7007.21.51 7007.21.1110 4016.99.6010
7320.20.10 7320.10.90 7320.10.60 7320.10.30
8302.30.60 8302.30.30 8302.10.30 8301.20.00
8407.34.44 8407.34.25 8407.34.18 8407.34.14
8409.91.1040 8408.20.20 8407.34.55 8407.34.48
8413.91.10 8413.30.90 8413.30.10 8409.99.1040
8414.59.6540 8414.59.30 8414.30.8030 8413.91.9010
8421.32.00 8421.23.00 8415.20.00 8414.80.05
8482.10.10 8431.10.0090 8426.91.00 8425.49.00
8482.20.0030 8482.20.0020 8482.10.5048 8482.10.5044
8482.20.0081 8482.20.0070 8482.20.0061 8482.20.0040
8501.32.20 8483.10.10 8482.50.00 8482.40.00
8501.33.30 8501.33.2080 8501.32.61 8501.32.5540
8501.34.61 8501.34.30 8501.33.61 8501.33.40
8501.40.60 8501.40.50 8501.40.40 8501.40.20
8501.51.60 8501.51.50 8501.51.40 8501.51.20
8507.90.40 8507.10.00 8501.52.8040 8501.52.40
8511.40.00 8511.30.00 8511.20.00 8511.10.00
8511.90.60 8511.80.60 8511.80.20 8511.50.00
8512.40.20 8512.30.00 8512.20.40 8512.20.20
8512.90.70 8512.90.60 8512.90.20 8512.40.40
8527.21.25 8527.21.15 8525.60.1010 8519.81.20
8536.41.0005 8527.29.80 8527.29.40 8527.21.40
8706.00.03 8544.30.00 8539.10.0050 8539.10.0010
8707.90.5020 8706.00.25 8706.00.15 8706.00.05
8708.10.30 8707.90.5090 8707.90.5080 8707.90.5060
8708.29.15 8708.22.00 8708.21.00 8708.10.60
8708.30.50 8708.30.1010 8708.29.51 8708.29.25
8708.40.60 8708.40.50 8708.40.30 8708.40.11
8708.50.31 8708.40.75 8708.40.70 8708.40.65
8708.50.81 8708.50.75 8708.50.65 8708.50.61
8708.50.93 8708.50.91 8708.50.89 8708.50.85
8708.70.25 8708.70.05 8708.50.99 8708.50.95
8708.80.13 8708.70.60 8708.70.45 8708.70.35
8708.80.65 8708.80.60 8708.80.55 8708.80.16
8708.91.75 8708.91.70 8708.91.65 8708.91.50
8708.94.10 8708.93.75 8708.93.60 8708.92.65
8708.94.75 8708.94.70 8708.94.65 8708.94.50
8708.99.03 8708.95.20 8708.95.15 8708.95.05
8708.99.31 8708.99.27 8708.99.23 8708.99.06
8708.99.55 8708.99.53 8708.99.4850 8708.99.41
9029.10.80 8709.90.00 8708.99.68 8708.99.58
9401.20.00
